Podsumowanie:
54  Wojtek
44  Marcin_FBI
39  drab111
35  JakubPaczek
26  Marcin
3  FBI223
3  Wiktor
3  fidren



Logi z GitHub:

f5392bb Wojtek Dodanie folderu z testami  2024-06-07 10:49:11 +0200
a124a82 drab111 naprawa buga  2024-06-07 06:34:31 +0200
925cab8 JakubPaczek Refaktoryzacja i bugfix'y editflashcardmenu  2024-06-06 21:53:06 +0200
b8f21f6 JakubPaczek path fix  2024-06-06 21:43:36 +0200
d46f540 JakubPaczek refaktoryzacja flashcardapp.py  2024-06-06 21:18:08 +0200
5c31c3d JakubPaczek Zmienne ustawień domyslnych  2024-06-06 21:04:34 +0200
7b3e72b JakubPaczek sciezka do grafik  2024-06-06 20:56:26 +0200
8d854ab JakubPaczek zmienna timer_enabled  2024-06-06 20:55:58 +0200
80a2a32 JakubPaczek color zamiast colour dla spójności  2024-06-06 20:47:07 +0200
dc816f7 JakubPaczek DEfault button  2024-06-05 19:53:12 +0200
ea0479b JakubPaczek Refaktoryzacja EditSetMenu.py  2024-06-05 19:36:16 +0200
7bd1aa4 JakubPaczek Refaktoryzacja mainMenu.py  2024-06-05 19:10:52 +0200
ffc3458 JakubPaczek usuniecie sciezki do bazy  2024-06-05 17:33:50 +0200
fd2e5f2 JakubPaczek ProfileMenu.py fix  2024-06-05 17:32:45 +0200
20a28f0 JakubPaczek Query database def  2024-06-05 17:20:15 +0200
653fb38 JakubPaczek Refaktoryzacja profilemenu.py  2024-06-05 15:07:37 +0200
36b04a4 JakubPaczek label background color fix  2024-06-05 14:44:27 +0200
f428b3a JakubPaczek Poprawa kodu, komentarze  2024-06-05 14:37:44 +0200
3a3f818 JakubPaczek Dodanie innych rozdzielczości  2024-06-05 13:59:51 +0200
107b64c JakubPaczek Zmiana rozdzielczości przy pełnym ekranie fix  2024-06-05 13:39:16 +0200
c1333c0 Wojtek Aktualizacja motywów  2024-06-04 19:37:51 +0200
561cb10 drab111 naprawa restore  2024-06-04 17:02:35 +0200
3778bd0 drab111 naprawa buga w Type & Check  2024-06-04 16:29:27 +0200
2a59e80 Wojtek Refaktoryzacja kodu FlashcardApp  2024-06-04 16:07:19 +0200
7c85d6e Wojtek Refaktoryzacja kodu Drag&Drop  2024-06-04 15:47:07 +0200
f38d059 Wojtek Refaktoryzacja kodu Drag&Drop  2024-06-04 15:45:32 +0200
bc9225d drab111 naprawa buga w Show & Hide  2024-06-02 13:17:24 +0200
a6173d2 Wojtek Poprawa przycisków  2024-06-01 22:11:58 +0200
7d763c0 Wojtek Refaktoryzacja kodu TypeCheckMenu  2024-06-01 15:49:51 +0200
8d74956 Wojtek Refaktoryzacja kodu TimerApp  2024-06-01 15:25:06 +0200
b4d3d96 Wojtek Refaktoryzacja kodu StudyFlashcardMenu  2024-06-01 15:24:02 +0200
451ba73 Wojtek Refaktoryzacja kodu ShowHideMenu  2024-06-01 14:55:41 +0200
e91678b Wojtek Refaktoryzacja kodu ShowHideMenu  2024-06-01 14:34:02 +0200
506ae48 Wojtek Aktualizacja bazy danych  2024-06-01 14:24:12 +0200
a0b093a Wojtek Aktualizacja bazy danych  2024-06-01 14:22:21 +0200
e15ff46 Marcin_FBI v109 do poprawy interfejs drag and drop !!!!!  2024-05-31 23:55:17 +0200
b3976f9 Marcin_FBI Merge remote-tracking branch 'origin/main'  2024-05-31 23:06:40 +0200
bdb9862 Marcin_FBI v108 poprawione interfejsy uczenia sie ( dluzsze fiszki )  2024-05-31 22:59:36 +0200
3e9d356 Wojtek Refaktoryzacja kodu ProfileMenu  2024-05-31 22:26:45 +0200
13d86e2 Wojtek Refaktoryzacja kodu MainMenu  2024-05-31 22:14:18 +0200
d093671 Wojtek Refaktoryzacja kodu MainMenu  2024-05-31 22:13:52 +0200
